TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/07/28
TIME	15:29:19
SPECTROMETER/DATA SYSTEM	
LOCALE	1036
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700,0000
LASTX	  250,0000
NPOINTS	     451
FIRSTY	     0,01778
MAXY	     0,84352
MINY	     0,01737
XYDATA
Serial No.	B117561150

Measurement date	28/07/2014 15:29

Photometric mode	Abs
Measurement range	700 - 250 nm
Data interval	1 nm
UV/Vis bandwidth	5.0 nm
Response	Medium
Scan speed	1000 nm/min
Change source at	340 nm
Light source	D2/WI
Filter exchange	Step
Correction	Baseline

